N,D,bonus,condition,seed,update,eat0,eat1,selectivity,prevalence,zaps,ret
12,100,2,none,0,0,59.73046875,61.4921875,0.0,0.0,40.1328125,-13.329231262207031
12,100,2,none,0,1,61.484375,59.8984375,0.0,0.0,39.7578125,-13.617480278015137
12,100,2,none,0,2,62.140625,60.109375,0.0,0.0,39.81640625,-13.607877731323242
12,100,2,none,0,3,63.2109375,60.734375,0.0,0.0,39.046875,-13.693944931030273
12,100,2,none,0,4,64.1484375,59.5546875,0.0,0.0,38.55859375,-13.791112899780273
12,100,2,none,0,5,65.5625,59.46484375,0.0,0.0,37.78125,-13.963932037353516
12,100,2,none,0,6,67.58984375,58.4609375,0.0,0.0,37.1640625,-14.112109184265137
12,100,2,none,0,7,67.75,60.50390625,0.0,0.0,36.08984375,-13.587630271911621
12,100,2,none,0,8,68.5625,61.44140625,0.0,0.0,35.125,-13.4990234375
12,100,2,none,0,9,70.89453125,62.0859375,0.0,0.0,34.296875,-13.60693359375
12,100,2,none,0,10,71.9609375,64.1796875,0.0,0.0,33.3125,-13.542512893676758
12,100,2,none,0,11,73.64453125,67.484375,0.0,0.0,32.609375,-13.240592002868652
12,100,2,none,0,12,74.5078125,70.13671875,0.0,0.0,31.59375,-12.735220909118652
12,100,2,none,0,13,76.76953125,72.76171875,0.0,0.0,30.73828125,-12.786555290222168
12,100,2,none,0,14,78.984375,76.33984375,0.0,0.0,30.08203125,-12.538835525512695
12,100,2,none,0,15,79.87890625,78.5625,0.0,0.0,29.76953125,-12.514876365661621
12,100,2,none,0,16,81.2265625,81.375,0.0,0.0,29.328125,-12.223860740661621
12,100,2,none,0,17,82.47265625,84.0078125,0.0,0.0,28.64453125,-12.189127922058105
12,100,2,none,0,18,84.10546875,87.19140625,0.0,0.0,28.6875,-11.911556243896484
12,100,2,none,0,19,86.41796875,88.12890625,0.0,0.0,27.53125,-11.935969352722168
12,100,2,none,0,20,86.71484375,90.98046875,0.0,0.0,26.765625,-11.612857818603516
12,100,2,none,0,21,89.9140625,92.2578125,0.0,0.0,25.99609375,-11.69931697845459
12,100,2,none,0,22,90.2734375,93.28125,0.0,0.0,25.28125,-11.630793571472168
12,100,2,none,0,23,89.95703125,95.1640625,0.0,0.0,23.8984375,-11.055468559265137
12,100,2,none,0,24,91.9296875,95.921875,0.0,0.0,23.3984375,-11.203874588012695
12,100,2,none,0,25,91.38671875,98.01953125,0.0,0.0,22.328125,-10.741015434265137
12,100,2,none,0,26,92.91015625,98.125,0.0,0.0,21.8984375,-10.771940231323242
12,100,2,none,0,27,94.4375,98.0,0.0,0.0,20.97265625,-10.823795318603516
12,100,2,none,0,28,96.671875,99.64453125,0.0,0.0,20.25,-11.050944328308105
12,100,2,none,0,29,96.90234375,98.95703125,0.0,0.0,20.12890625,-10.850976943969727
12,100,2,none,0,30,97.80078125,100.10546875,0.0,0.0,19.66015625,-10.875261306762695
12,100,2,none,0,31,98.7109375,99.3828125,0.0,0.0,19.33984375,-10.945116996765137
12,100,2,none,0,32,98.55859375,99.19140625,0.0,0.0,19.08203125,-10.893327713012695
12,100,2,none,0,33,98.16796875,99.7265625,0.0,0.0,18.9765625,-11.036002159118652
12,100,2,none,0,34,98.9296875,99.375,0.0,0.0,18.8359375,-10.890658378601074
12,100,2,none,0,35,97.6171875,99.8046875,0.0,0.0,17.8828125,-10.660059928894043
12,100,2,none,0,36,98.60546875,99.93359375,0.0,0.0,18.39453125,-10.79443359375
12,100,2,none,0,37,97.55859375,100.63671875,0.0,0.0,17.7890625,-10.651432037353516
12,100,2,none,0,38,97.96484375,99.48828125,0.0,0.0,17.91015625,-10.8271484375
12,100,2,none,0,39,98.359375,99.9140625,0.0,0.0,18.41015625,-10.814226150512695
12,100,2,none,0,40,97.578125,99.203125,0.0,0.0,17.9453125,-10.770866394042969
12,100,2,none,0,41,99.328125,99.25390625,0.0,0.0,17.796875,-11.122884750366211
